Site,Data,Source,Date,Season,O18,D,D_EX
North Canyon,Wood,C aqifer,9/1/2018,Autumn,-13.19913744,-96.76571604,8.82738348
North Canyon,Wood,C aqifer,9/2/2018,Autumn,-13.96066198,-96.2253549,15.45994094
North Canyon,Wood,C aqifer,10/6/2018,Autumn,-13.79923238,-97.14525561,13.24860343
North Canyon,Wood,C aqifer,10/14/2018,Autumn,-14.56586185,-97.66497401,18.86192079
North Canyon,Wood,C aqifer,11/11/2018,Winter,-14.00239191,-97.45396958,14.5651657
North Canyon,Wood,C aqifer,12/16/2018,Winter,-13.80141028,-97.17015079,13.24113145
Quaking Aspen,Wood,C aqifer,5/24/2018,Summer,-13.58035675,-93.5696019,15.0732521
Quaking Aspen,Wood,C aqifer,6/26/2018,Summer,-12.98501788,-93.16294822,10.71719482
Quaking Aspen,Wood,C aqifer,7/13/2018,Summer,-13.1917912,-92.67366118,12.86066842
Quaking Aspen,Wood,C aqifer,8/5/2018,Autumn,-12.65764853,-93.05992199,8.20126625
Quaking Aspen,Wood,C aqifer,9/1/2018,Autumn,-13.07992908,-93.58936838,11.05006426
Quaking Aspen,Wood,C aqifer,10/13/2018,Autumn,-12.81036778,-92.77918217,9.70376007
Quaking Aspen,Wood,C aqifer,11/11/2018,Winter,-12.84155121,-92.36583986,10.36656982
Watts,Wood,C aqifer,5/24/2018,Summer,-12.83769133,-93.72529855,8.97623209
Watts,Wood,C aqifer,6/26/2018,Summer,-12.87581318,-93.16137356,9.84513188
Watts,Wood,C aqifer,7/13/2018,Summer,-13.06398808,-92.56065441,11.95125023
Watts,Wood,C aqifer,8/5/2018,Autumn,-13.72265802,-93.48923348,16.29203068
Watts,Wood,C aqifer,9/1/2018,Autumn,-13.0711347,-92.5684264,12.0006512
Watts,Wood,C aqifer,10/13/2018,Autumn,-13.83973029,-92.44054282,18.2772995
Watts,Wood,C aqifer,11/10/2018,Winter,-12.81935045,-92.2163569,10.3384467
Lower Two,Wood,C aqifer,6/26/2018,Summer,-13.04337835,-92.15008847,12.19693833
Lower Two,Wood,C aqifer,8/5/2018,Autumn,-12.43046872,-90.9114419,8.53230786
Lower Two,Wood,C aqifer,11/10/2018,Winter,-13.81437455,-92.59734833,17.91764807
Timp,Wood,C aqifer,5/24/2018,Summer,-12.8808478,-92.61068376,10.43609864
Timp,Wood,C aqifer,6/26/2018,Summer,-12.93115882,-92.93399719,10.51527337
Timp,Wood,C aqifer,7/13/2018,Summer,-13.28144984,-92.55460748,13.69699124
Timp,Wood,C aqifer,8/6/2018,Autumn,-13.51844695,-93.22742255,14.92015305
Timp,Wood,C aqifer,9/1/2018,Autumn,-13.36734916,-93.18343543,13.75535785
Timp,Wood,C aqifer,10/13/2018,Autumn,-13.12583615,-93.04787086,11.95881834
Timp,Wood,C aqifer,11/10/2018,Winter,-13.82133113,-93.03523594,17.5354131
Parissawampitts,Wood,C aqifer,5/25/2018,Summer,-13.14234757,-90.91744075,14.22133981
Parissawampitts,Wood,C aqifer,6/26/2018,Summer,-12.83332014,-92.57426289,10.09229823
Parissawampitts,Wood,C aqifer,7/13/2018,Summer,-12.96951613,-93.84341822,9.91271082
Parissawampitts,Wood,C aqifer,8/5/2018,Autumn,-13.6274086,-93.59889747,15.42037133
Parissawampitts,Wood,C aqifer,9/1/2018,Autumn,-13.32889975,-92.19887929,14.43231871
Parissawampitts,Wood,C aqifer,10/13/2018,Autumn,-12.43141764,-87.57121368,11.88012744
Parissawampitts,Wood,C aqifer,11/11/2018,Winter,-13.30706581,-92.16959198,14.2869345
Squaw,Wood,C aqifer,5/24/2018,Summer,-13.53063216,-94.99448448,13.2505728
Squaw,Wood,C aqifer,6/26/2018,Summer,-13.02904453,-93.68968994,10.5426663
Squaw,Wood,C aqifer,7/13/2018,Summer,-13.30614829,-93.47417851,12.97500781
Squaw,Wood,C aqifer,8/5/2018,Autumn,-12.81347377,-94.0060806,8.50170956
Squaw,Wood,C aqifer,9/1/2018,Autumn,-12.80028068,-93.07543741,9.32680803
Squaw,Wood,C aqifer,10/13/2018,Autumn,-14.02575471,-93.74071996,18.46531772
Squaw,Wood,C aqifer,11/10/2018,Winter,-13.49791101,-93.09643397,14.88685411
Oquer,Wood,C aqifer,6/24/2018,Summer,-12.81670906,-91.14481043,11.38886205
Oquer,Wood,C aqifer,7/12/2018,Summer,-12.46165084,-89.66974641,10.02346031
Oquer,Wood,C aqifer,8/4/2018,Autumn,-12.32576608,-81.71401741,16.89211123
Oquer,Wood,C aqifer,11/11/2018,Winter,-12.73150598,-89.94122229,11.91082555
Oak,Wood,C aqifer,6/24/2018,Summer,-12.89155218,-94.77214963,8.36026781
Oak,Wood,C aqifer,7/14/2018,Summer,-12.83047981,-94.18816432,8.45567416
Oak,Wood,C aqifer,8/4/2018,Autumn,-13.41135615,-94.77704614,12.51380306
Oak,Wood,C aqifer,8/31/2018,Autumn,-13.15799622,-95.05790546,10.2060643
Oak,Wood,C aqifer,10/13/2018,Autumn,-13.31297936,-94.61183978,11.8919951
Oak,Wood,C aqifer,11/11/2018,Winter,-13.64238936,-95.39248537,13.74662951
Oak,Wood,C aqifer,12/17/2018,Winter,-12.79011103,-94.70823165,7.61265659
Riggs Tank,Wood,C aqifer,6/24/2018,Summer,-13.46432676,-96.95295522,10.76165886
Riggs Tank,Wood,C aqifer,7/12/2018,Summer,-13.40897495,-96.45835435,10.81344525
Riggs Tank,Wood,C aqifer,8/4/2018,Autumn,-13.95933907,-97.42754634,14.24716622
Riggs Tank,Wood,C aqifer,8/31/2018,Autumn,-14.07167133,-97.38611188,15.18725876
Riggs Tank,Wood,C aqifer,10/14/2018,Autumn,-12.87699955,-96.43977159,6.57622481
Riggs Tank,Wood,C aqifer,11/11/2018,Winter,-13.37855246,-96.65695546,10.37146422
Riggs Tank,Wood,C aqifer,12/15/2018,Winter,-13.02117338,-97.09815898,7.07122806
Bright Angel,Wood,C aqifer,11/12/2017,Winter,-13.39302552,-94.70044328,12.44376088
Bright Angel,Wood,C aqifer,6/27/2018,Summer,-12.77327906,-91.84074692,10.34548556
Bright Angel,Wood,C aqifer,7/12/2018,Summer,-13.32906155,-94.80030835,11.83218405
Bright Angel,Wood,C aqifer,11/11/2018,Winter,-14.18673469,-95.13600967,18.35786785
Lower Thompson,Wood,C aqifer,6/27/2018,Summer,-12.58216688,-90.20236833,10.45496671
Lower Thompson,Wood,C aqifer,7/12/2018,Summer,-12.93266418,-91.83389214,11.6274213
Lower Thompson,Wood,C aqifer,8/6/2018,Autumn,-13.64747039,-93.30202042,15.8777427
Lower Thompson,Wood,C aqifer,9/2/2018,Autumn,-12.15617114,-87.91870572,9.3306634
Lower Thompson,Wood,C aqifer,10/12/2018,Autumn,-13.49733041,-92.62176153,15.35688175
Lower Thompson,Wood,C aqifer,11/11/2018,Winter,-12.86596355,-92.42090706,10.50680134
Lower Thompson,Wood,C aqifer,12/15/2018,Winter,-12.9834798,-92.48383136,11.38400704
Upper Thompson,Wood,C aqifer,6/27/2018,Summer,-12.96239288,-93.84885997,9.85028307
Upper Thompson,Wood,C aqifer,7/12/2018,Summer,-13.19542542,-95.34653144,10.21687192
Upper Thompson,Wood,C aqifer,8/6/2018,Autumn,-12.29387189,-90.70063351,7.65034161
Upper Thompson,Wood,C aqifer,9/2/2018,Autumn,-13.15006967,-95.76196587,9.43859149
Upper Thompson,Wood,C aqifer,10/12/2018,Autumn,-12.92030032,-93.92952427,9.43287829
Upper Thompson,Wood,C aqifer,11/11/2018,Winter,-13.94321598,-95.75103712,15.79469072
Upper Thompson,Wood,C aqifer,12/15/2018,Winter,-12.94229367,-94.77818643,8.76016293
Moquitch Spring,Wood,C aqifer,6/25/2018,Summer,-12.93138637,-93.91825379,9.532837148
Pasture Spring,Wood,C aqifer,5/24/2018,Summer,-13.12542148,-92.61679608,12.38657574
Lower Big Spring South,Wood,C aqifer,6/27/2018,Summer,-12.77327906,-91.84074692,10.34548552
Dry Park Well,Wood,C aqifer,10/14/2018,Autumn,-11.58543297,-77.112744,15.57071976
Mourning Dove Spring,Wood,C aqifer,11/11/2018,Winter,-12.91618526,-95.3533312,7.976150867
Locust Spring,Wood,C aqifer,11/10/2018,Winter,-13.76743086,-93.65745638,16.48199046
Moquitch Spring,Wood,C aqifer,11/11/2018,Winter,-13.22875364,-97.41369889,8.416330201
Dry Park Well,Wood,C aqifer,11/11/2018,Winter,-10.72448102,-77.22128645,8.574561729
Pasture Spring,Wood,C aqifer,11/10/2018,Winter,-13.05560338,-91.97412814,12.47069889
South Canyon Spring,Wood,C aqifer,11/10/2017,Winter,-13.84320368,-97.06378611,13.68184334
South Canyon Spring,Wood,C aqifer,8/6/2018,Autumn,-14.02907682,-97.94627128,14.28634326
Warm Springs,Wood,C aqifer,12/17/2018,Winter,-13.14774824,-96.17748401,9.004501902
Mourning Dove Spring,Wood,C aqifer,12/16/2018,Winter,-12.89512792,-95.84514921,7.315874123
Telephone Hill,Wood,Meteoric,8/4/2018,Autumn,-5.74,-42.59,3.309198965
Telephone Hill,Wood,Meteoric,10/6/2018,Autumn,-13.76239617,-99.72121961,10.37794972
Telephone Hill,Wood,Meteoric,10/14/2018,Autumn,-12.92259452,-81.83990003,21.54085613
Telephone Hill,Wood,Meteoric,11/15/2018,Winter,-8.10907875,-52.55018145,12.32244855
Telephone Hill,Wood,Meteoric,12/15/2018,Winter,-11.78,-81.62,12.65433851
Rainbow rim,Wood,Meteoric,8/5/2018,Autumn,-6.28,-40.34,9.878307062
Rainbow rim,Wood,Meteoric,9/2/2018,Autumn,-5.71,-34.64,11.07256435
Rainbow rim,Wood,Meteoric,10/13/2018,Autumn,-14.09192402,-96.03814057,16.69725159
North Precip,Wood,Meteoric,5/24/2018,Summer,-3.833277994,-42.56529746,-11.8990735
North Precip,Wood,Meteoric,8/6/2018,Autumn,-8.50,-53.92,14.04292909
North Precip,Wood,Meteoric,10/6/2018,Autumn,-14.3302009,-97.37228686,17.26932031
North Precip,Wood,Meteoric,10/14/2018,Autumn,-9.925028788,-54.61521019,24.78502012
North Precip,Wood,Meteoric,11/15/2018,Winter,-12.8149321,-84.23577621,18.28368061
North Precip,Wood,Meteoric,12/18/2018,Winter,-13.28,-88.06,18.17413276
DeMotte Sinkhole,Wood,Sinkhole,4/8/2018,Spring,-10.45,-74.79,8.768153003
DeMotte Sinkhole,Wood,Sinkhole,10/12/2018,Autumn,-11.51668112,-76.66225513,15.47119379
DeMotte Sinkhole,Wood,Sinkhole,10/14/2018,Autumn,-10.9885412,-73.62853062,14.27979899
DeMotte Sinkhole,Wood,Sinkhole,11/11/2018,Winter,-12.10365835,-80.15496861,16.67429822
DeMotte Sinkhole,Wood,Sinkhole,12/15/2018,Winter,-10.95,-80.20,7.39269048
Telephone Hill,Wood,Meteoric,8/4/2018,Autumn,-5.74,-42.59,3.309198965
Telephone Hill,Wood,Meteoric,10/6/2018,Autumn,-13.76239617,-99.72121961,10.37794972
Telephone Hill,Wood,Meteoric,10/14/2018,Autumn,-12.92259452,-81.83990003,21.54085613
Telephone Hill,Wood,Meteoric,11/15/2018,Winter,-8.10907875,-52.55018145,12.32244855
Telephone Hill,Wood,Meteoric,12/15/2018,Winter,-11.78,-81.62,12.65433851
Rainbow rim,Wood,Meteoric,8/5/2018,Autumn,-6.28,-40.34,9.878307062
Rainbow rim,Wood,Meteoric,9/2/2018,Autumn,-5.71,-34.64,11.07256435
Rainbow rim,Wood,Meteoric,10/13/2018,Autumn,-14.09192402,-96.03814057,16.69725159
North Precip,Wood,Meteoric,5/24/2018,Summer,-3.833277994,-42.56529746,-11.8990735
North Precip,Wood,Meteoric,8/6/2018,Autumn,-8.50,-53.92,14.04292909
North Precip,Wood,Meteoric,10/6/2018,Autumn,-14.3302009,-97.37228686,17.26932031
North Precip,Wood,Meteoric,10/14/2018,Autumn,-9.925028788,-54.61521019,24.78502012
North Precip,Wood,Meteoric,11/15/2018,Winter,-12.8149321,-84.23577621,18.28368061
North Precip,Wood,Meteoric,12/18/2018,Winter,-13.28,-88.06,18.17413276
DeMotte Sinkhole,Wood,Sinkhole,4/8/2018,Spring,-10.45,-74.79,8.768153003
DeMotte Sinkhole,Wood,Sinkhole,10/12/2018,Autumn,-11.51668112,-76.66225513,15.47119379
DeMotte Sinkhole,Wood,Sinkhole,10/14/2018,Autumn,-10.9885412,-73.62853062,14.27979899
DeMotte Sinkhole,Wood,Sinkhole,11/11/2018,Winter,-12.10365835,-80.15496861,16.67429822
DeMotte Sinkhole,Wood,Sinkhole,12/15/2018,Winter,-10.95,-80.20,7.39269048
Roaring Springs (?),Ingraham,R aquifer,4/2/1993,Spring,-13.5,-95,13
Roaring Springs (?),Ingraham,R aquifer,9/2/1993,Autumn,-13.5,-97,11
Roaring Springs Source1 ,Rice,R aquifer,3/7/2003,Spring,-13.5,-90.18,17.82
Roaring Springs Source1 ,Rice,R aquifer,4/11/2003,Spring,-12.77,-84.83,17.33
Roaring Springs Source1 ,Rice,R aquifer,5/17/2003,Summer,-12.76,-88.43,13.65
Roaring Springs Source1 ,Rice,R aquifer,6/14/2003,Summer,-13.18,-88.82,16.62
Roaring Springs Source1 ,Rice,R aquifer,7/13/2003,Summer,-13.4,-93.28,13.92
Roaring Springs Source1 ,Ross,R aquifer,9/3/2003,Autumn,-13.65,-91.84,17.36
Roaring Springs Source1 ,Ross,R aquifer,10/10/2003,Autumn,-13.54,-94.66,13.66
Roaring Springs Source1 ,Ross,R aquifer,4/1/2005,Spring,-13.25,-91.75,14.25
Roaring Springs Cave Pipe ,Ross,R aquifer,8/7/2007,Autumn,-13.39,-98.6,8.52
Roaring Springs Cave Pipe ,Ross,R aquifer,8/8/2007,Autumn,-13.41,-97.02,10.26
"Bright Angel Creek, near Roaring ",Ross,R aquifer,8/8/2007,Autumn,-13.54,-101.38,6.94
Roaring Springs Cave Pipe ,Ross,R aquifer,8/24/2007,Autumn,-13.25,-99.49,6.51
"Bright Angel Creek, near Roaring ",Ross,R aquifer,8/24/2007,Autumn,-13.58,-101.02,7.62
Emmett Spring ,Ross,R aquifer,9/13/2007,Autumn,-13.3,-99.52,6.88
Angel Springs ,Ross,R aquifer,9/13/2007,Autumn,-13.56,-100.5,7.98
Roaring Springs Cave Pipe ,Ross,R aquifer,9/14/2007,Autumn,-13.35,-99,7.8
Roaring Springs Cave Pipe ,Ross,R aquifer,10/4/2007,Autumn,-13.8,-95.87,14.53
"Bright Angel Creek, near Roaring ",Ross,R aquifer,10/4/2007,Autumn,-13.93,-96.78,14.66
Emmett Spring ,Ross,R aquifer,11/15/2007,Winter,-14.02,-97.54,14.62
Roaring Springs Cave Pipe ,Ross,R aquifer,11/15/2007,Winter,-13.77,-95.77,14.39
Roaring Springs Cave Pipe ,Ross,R aquifer,12/17/2007,Winter,-13.82,-95.84,14.72
"Bright Angel Creek, near Roaring ",Ross,R aquifer,12/17/2007,Winter,-13.94,-97.1,14.42
Roaring Springs Cave Pipe ,Brown,R aquifer,1/24/2008,Winter,-13.88,-95.91,15.13
Roaring Springs Cave Pipe ,Brown,R aquifer,1/24/2008,Winter,-13.69,-95.82,13.7
Roaring Springs Cave Pipe ,Brown,R aquifer,3/17/2008,Spring,-13.68,-97.42,12.02
Roaring Springs Cave Pipe ,Brown,R aquifer,3/17/2008,Spring,-13.8,-97.42,12.98
"Bright Angel Creek, near Roaring ",Brown,R aquifer,3/17/2008,Spring,-13.86,-98.44,12.44
"Bright Angel Creek, near Roaring ",Brown,R aquifer,3/17/2008,Spring,-13.74,-97.31,12.61
Roaring Springs Cave Pipe (20:00) ,Brown,R aquifer,4/26/2008,Spring,-13.11,-91.7,13.18
"Bright Angel Creek, near Roaring ",Brown,R aquifer,4/26/2008,Spring,-13.54,-93.98,14.34
Roaring Springs Cave Pipe (0:00) ,Brown,R aquifer,4/27/2008,Spring,-12.66,-91.01,10.27
Roaring Springs Cave Pipe (4:00) ,Brown,R aquifer,4/27/2008,Spring,-12.82,-91.62,10.94
Roaring Springs Cave Pipe (8:00) ,Brown,R aquifer,4/27/2008,Spring,-12.87,-91.45,11.51
Roaring Springs Cave Pipe (12:00) ,Brown,R aquifer,4/27/2008,Spring,-12.98,-92.58,11.26
Roaring Springs Cave Pipe (16:00) ,Brown,R aquifer,4/27/2008,Spring,-13.41,-94.13,13.15
Roaring Springs Cave Pipe (20:00) ,Brown,R aquifer,4/27/2008,Spring,-13.3,-93.76,12.64
Roaring Springs Cave Pipe (0:00) ,Brown,R aquifer,4/28/2008,Spring,-13.41,-93.99,13.29
Roaring Springs Cave Pipe (4:00) ,Brown,R aquifer,4/28/2008,Spring,-13.48,-94.77,13.07
Haunted Creek ,Brown,R aquifer,5/27/2008,Summer,-13.07,-93.36,11.2
Haunted Creek ,Brown,R aquifer,5/27/2008,Summer,-12.8,-92.74,9.66
Phantom Creek ,Brown,R aquifer,5/27/2008,Summer,-12.94,-91.52,12
Phantom Creek ,Brown,R aquifer,5/27/2008,Summer,-12.62,-92.04,8.92
Emmett Spring ,Brown,R aquifer,6/1/2008,Summer,-13.02,-93.81,10.35
Emmett Spring ,Brown,R aquifer,6/1/2008,Summer,-13.41,-93.98,13.3
Angel Springs ,Brown,R aquifer,6/2/2008,Summer,-13.29,-94.81,11.51
Angel Springs ,Brown,R aquifer,6/2/2008,Summer,-13.49,-94.26,13.66
Neal Spring ,Brown,R aquifer,6/2/2008,Summer,-13.25,-93.06,12.94
Roaring Springs Cave Pipe ,Brown,R aquifer,7/10/2008,Summer,-13.2,-95.3,10.3
"Bright Angel Creek, near Roaring ",Brown,R aquifer,7/10/2008,Summer,-13.3,-95,11.4
"Bright Angel Creek, near Roaring ",Brown,R aquifer,7/10/2008,Summer,-13.1,-95.5,9.3
Roaring Springs Cave Pipe ,Brown,R aquifer,8/14/2008,Autumn,-12.94,-91.52,12
Roaring Springs,Brown,R aquifer,6/5/2010,Summer,-13.22,-94.7,11.06
Roaring Springs,Schindel,R aquifer,7/16/2014,Summer,-13.51,-96.79,11.29
Roaring Springs,Schindel,R aquifer,8/22/2016,Autumn,-13.23,-95.06,10.78
Roaring Springs,Phy Sci,R aquifer,8/1/2017,Autumn,-13.59,-93.38,15.34
Roaring Springs,Phy Sci,R aquifer,9/22/2017,Autumn,-13.66,-95.44,13.84
Deep site roaring,Phy Sci,R aquifer,9/23/2017,Autumn,-13.65926815,-95.43846035,13.83568483
Emmett Pool,Phy Sci,R aquifer,9/23/2017,Autumn,-13.7477682,-96.21620887,13.76593675
Whirlpool Sp,Phy Sci,R aquifer,9/24/2017,Autumn,-13.21666767,-92.43448722,13.29885417
Mystic Falls,Phy Sci,R aquifer,10/7/2017,Autumn,-13.82994104,-96.55626681,14.0832615
Muar seep,Phy Sci,R aquifer,10/9/2017,Autumn,-13.52629369,-95.47985082,12.73049872
Roaring Deep,Phy Sci,R aquifer,11/11/2017,Winter,-13.31969906,-94.32770953,12.22988295
Emmett Pool,Phy Sci,R aquifer,11/13/2017,Winter,-13.36431275,-94.98419527,11.93030674
Vaseys Paradise,Phy Sci,R aquifer,12/30/2017,Winter,-13.06900899,-97.91133594,6.640735971
Below Redwall ,Phy Sci,R aquifer,12/30/2017,Winter,-13.42485829,-99.07546924,8.323397061
Bert Canyon,Phy Sci,R aquifer,12/31/2017,Winter,-12.7003964,-97.42047986,4.182691356
Nanko Mesa,Phy Sci,R aquifer,1/2/2018,Winter,-11.39109175,-89.3098673,1.818866692
Thunder River,Phy Sci,R aquifer,1/9/2018,Winter,-12.99852357,-97.16658087,6.821607683
Mint Spring,Phy Sci,R aquifer,1/28/2018,Winter,-13.57885019,-95.06775694,13.56304456
Emmet Cave,Phy Sci,R aquifer,1/29/2018,Winter,-13.63625946,-96.49201052,12.59806513
Roaring Deep,Phy Sci,R aquifer,1/30/2018,Winter,-13.94905468,-95.6149567,15.97748073
Muav Seep,Phy Sci,R aquifer,2/7/2018,Spring,-13.88872859,-96.330919,14.77890969
Mint Spring,Phy Sci,R aquifer,3/19/2018,Spring,-13.10226846,-93.7457837,11.07236402
Emmett Cave,Phy Sci,R aquifer,3/20/2018,Spring,-13.69894783,-95.95120328,13.64037937
Pondo Grotto ,Phy Sci,R aquifer,3/20/2018,Spring,-13.12974062,-94.12933493,10.90859002
Roar Deep Dupe,Phy Sci,R aquifer,3/21/2018,Spring,-13.38098864,-95.55231,11.49559911
Roar Deep,Phy Sci,R aquifer,3/21/2018,Spring,-13.21545301,-94.72511784,10.9985062
Monsoon Precip. ,Ross,Meteoric,9/12/2007,Autumn,-6.76,-46.71,7.37
Transition Precip. 1 ,Ross,Meteoric,10/20/2005,Autumn,-9.12,-53.39,19.57
Transition Precip. 1 ,Ross,Meteoric,10/20/2005,Autumn,-8.85,-54.65,16.15
Transition Precip. 1 ,Ross,Meteoric,11/20/2005,Winter,-9.47,-61.9,13.86
Transition Precip. 1 ,Ross,Meteoric,11/20/2005,Winter,-10.54,-66.2,18.12
Monsoon Precip. ,Ross,Meteoric,7/17/2007,Summer,-3.36,-30.84,-3.96
Monsoon Precip. ,Brown,Meteoric,7/25/2007,Summer,-8.23,-62.84,3
Transition Precip. ,Brown,Meteoric,10/4/2007,Autumn,-11.51,-72.93,19.15
Winter Precip. ,Brown,Meteoric,1/24/2008,Winter,-10.09,-68.32,12.4
Winter Precip. ,Brown,Meteoric,3/16/2008,Spring,-11.05,-73.79,14.61
Winter Precip. ,Brown,Meteoric,3/17/2008,Spring,-17.46,-123.49,16.19
